ID	n_p
2NXL_A	360
4AI7_A	6
4I7E_A	16
1G37_A	172
5HJM_A	22
4WU2_A	16
5XJM_A	106
3UTY_A	82
3ASV_A	20
4DYE_A	14
5IVN_A	600
2FZL_A	1
3A5I_A	0
5HKJ_A	2
3V58_B	29
5LKV_A	33
1HFE_M	12
3D2D_A	12
4NPM_A	6
3AZO_A	1
3FH6_F	9
2Y7W_A	10
4Z37_A	18
1T4G_A	26
5P55_A	411
3LYA_A	3
5XAM_A	5
1NX4_C	2
5LFQ_A	4
5M1Y_A	338
3I6O_A	374
1H7S_A	9
2Z81_A	34
3CE0_A	38
1MH2_A	21
4G4Y_B	4
1WWA_X	2
1TV8_A	2
5NJY_A	79
2YG4_B	64
6FAU_A	122
5YHI_A	1
4YHQ_A	372
4XYQ_A	6
1AME_A	38
5OMT_A	4
5I1P_B	16
3KI3_A	13
4OJC_A	2
2HYY_B	425
5ODB_A	1437
1KTV_A	31
4LAN_A	8
6BQO_B	1
1J6V_A	9
3B7X_A	0
5P88_A	411
3BVC_A	1
1F3T_A	8
4IMY_A	267
1FYV_A	1
2VTC_A	0
3E6J_A	18
4AXQ_A	2
4BVS_A	8
4M2O_A	9
5UY6_A	25
3WAO_A	31
5YZ5_A	18
1I86_A	43
4RSO_A	14
3KLQ_A	1
3O62_G	67
2YFS_A	2
3APU_A	4
4AE1_A	7
2BQP_A	77
4YSD_A	16
5GGV_H	1430
5VKE_A	1312
4RP8_A	1
2YGB_B	10
1R58_A	10
3ZF0_A	11
4P8B_A	1
5W6C_H	1294
4DL4_A	51
4BQC_A	8
3KOW_B	2
4DWO_A	2
5NNR_A	1
3F8C_A	3
2YAL_A	1
5W30_A	8
2JCH_A	16
2B34_A	1
2NW2_B	110
1U0J_A	1
2E7X_A	9
2AJI_B	6
4LSL_A	166
4V0L_A	5
4KIV_A	11
5EAV_A	26
4I6L_A	7
4JMP_A	1
2V8Y_A	36
4OE5_A	36
4FKC_A	6
1G0N_A	35
1K8K_A	19
3MP2_A	0
5N2F_A	41
2JJQ_A	1
4M6P_A	43
5V4R_A	4
2NXT_A	371
2OS2_B	53
4E2I_A	7
2DVO_A	5
1QIN_A	12
5EA2_C	35
3E0O_A	6
1FNL_A	4
2OWX_A	8
4PH7_D	0
3WL6_A	7
5X7S_A	1
2I2A_A	22
3D4D_A	235
1DTL_A	17
4Q32_B	55
1N97_A	2
2BJA_A	81
1L7N_B	12
4HL1_B	94
2ZPN_A	3
5VM8_A	0
3K7P_A	7
5KON_A	62
3M9Y_A	30
4PAX_A	58
4I6E_A	13
2Z51_A	0
2VQ8_A	2
5WX3_A	31
1VTL_E	6
1LF4_A	20
3E44_A	17
5CO4_B	21
3U0D_A	39
3EV2_A	126
4JEC_A	374
5MO1_A	294
3POG_A	7
3ZW9_A	10
5P0J_A	411
1EXB_A	4
6B4P_A	0
2P57_A	1
4GXM_A	35
1CRW_G	94
1NYR_B	5
1U3D_A	0
2ODJ_B	7
3A2P_A	5
5M84_A	27
4EKC_A	49
5C15_A	7
5M0K_A	18
3VLZ_A	11
1XU1_A	6
4JCG_A	0
2DB3_A	15
3A4E_A	174
1GWZ_A	174
1QOZ_A	1
4CFX_A	352
2H51_A	27
3TRH_G	29
4N3P_B	8
5INX_A	4
1CJV_C	65
2O8D_B	12
2ZY9_B	7
5W1E_A	0
5UEY_A	61
4ZPQ_A	13
4MAY_D	101
4HAY_C	44
5NO7_A	0
3KJP_A	2
5CLH_B	40
4FL8_A	374
1W8G_A	1
2BGV_X	2
4OWG_A	90
5N19_A	73
4HOZ_A	32
3DPP_B	39
4TR0_A	3
4E8U_A	0
4B2B_A	283
2OPD_A	1
4KOD_J	47
5FK8_A	9
3M59_A	27
2ICG_A	0
4UE1_A	70
3KRN_A	0
2P1Y_A	50
2XL2_A	51
2BTO_A	1
3V60_B	17
5I7C_A	4
5MQP_E	0
2FUE_A	6
2IFV_A	6
5Y8T_B	4
4QJL_A	3
3SJN_A	4
5K0J_A	58
3H5T_A	0
5OT8_A	11
3LPO_A	14
3SGW_A	9
3M1R_D	0
4RBP_H	1284
3SQ3_A	1
2J9F_A	19
3EON_D	11
4NZT_M	1
2DT8_A	1
4MC0_A	2
4DFZ_E	351
3TBE_A	8
2NNX_A	60
3PIH_A	5
5L7Z_A	1
1BAZ_A	3
2HRY_A	8
4BSF_A	41
2JBZ_A	4
4J2H_A	70
3U3X_A	0
3GHE_H	1566
2VF4_X	14
4V9E_AA	9
1Q83_A	124
5VH3_A	1357
3MZN_A	18
3HO7_A	2
5N47_D	3
4YHU_A	2
1YM5_A	0
5NHC_A	18
3CEV_F	7
2ALR_A	94
4OHL_A	133
6B2Y_B	1
4GBU_A	35
5LLV_A	174
3QS9_E	1
5IA5_A	492
5XLS_A	1
3AV8_A	19
4EU6_A	30
5DOC_A	3
6BMT_A	34
3HHS_A	1
5CJO_A	36
4HWA_A	4
3WYI_A	31
2C94_A	4
5T8O_A	8
3OVG_A	1
5EID_A	1
2XH6_A	6
2P7M_A	5
3ZGJ_B	1
5NAL_B	19
3IQ0_B	0
4D0G_A	67
3DZ2_A	22
5MPM_A	43
3HF1_B	9
1EY9_A	235
2XDD_A	2
3IAU_A	3
1Q20_A	37
3HKI_B	157
5DN2_A	9
3F57_A	4
5M9F_A	0
2X0R_A	6
2PJR_F	12
4QRM_A	2
5EGG_A	39
3VIB_C	0
5YQO_A	51
2EIF_A	1
2EJX_A	1
4XQ5_C	83
3DDT_A	0
3ZHK_A	1240
1UN4_A	48
4O1Y_A	49
2ZAF_A	5
4H7D_A	40
5TE5_A	21
3ABR_A	6
3QS7_E	1
2J7D_A	126
4DM7_A	22
3LTA_A	7
4DWK_A	36
5NN0_A	120
4HUW_A	505
5B0N_A	3
4CAA_A	23
3VP1_A	30
3NJ2_B	0
4U2V_B	281
3UG4_C	7
4J8D_D	2
1U5O_A	3
6BI7_C	14
4DX5_A	44
5L91_A	26
4DBF_A	3
4L74_B	14
5EPH_A	60
3M0W_B	5
3G8Y_A	1
1YIH_B	151
2QSY_A	6
4IE7_A	12
2CLW_A	48
4P5F_B	1
2ZZU_H	77
4F8T_A	5
4EGY_A	4
4NSG_A	338
2V1X_A	15
4J8Z_A	3
2BDH_A	61
5GLP_A	6
2PYQ_A	0
2XRC_B	1
1BZ4_A	6
4MHG_A	0
3NMT_B	33
1KQL_A	52
6EHG_B	15
5F5L_A	1
1T6S_A	0
4O91_A	23
3P5P_A	10
3V2B_A	0
5P33_A	411
4NRZ_A	1249
5M93_C	118
4D0D_A	282
3T3F_A	93
5ENY_A	12
2B4C_G	139
4CB9_A	6
3VOF_A	9
5C40_A	8
1Z7N_A	2
4LWH_A	205
2GHZ_A	64
3NKS_A	3
3BB2_A	96
5SYO_E	36
4GFB_A	1
2R2E_B	1445
3L6N_A	1
4I6I_A	21
4F3O_D	93
4HQK_A	3
5T8F_A	134
2OFI_A	1
5Y59_B	1
5H6I_A	1
5NXG_A	371
6EZW_B	723
1S1F_A	26
2PH1_A	7
5KBA_B	11
5MZH_B	3
2FM1_D	8
4YMU_C	2
4CXF_A	0
1ZMW_A	185
1ZON_A	22
3NC0_D	43
1TLG_A	1
5TKA_A	4
2XQV_A	9
4WRC_A	13
3DUK_A	0
2UZE_C	238
2O2H_A	44
4GH2_A	172
5YZ8_C	19
6B2H_A	76
4QI0_B	12
5D1I_A	0
2IGK_A	29
2Y7X_A	132
4YPQ_A	60
5HVH_A	14
1JOS_A	0
5HN3_A	42
5OWW_A	164
3TSV_A	5
5VQQ_A	165
1T1R_A	42
1AXS_B	122
1YV7_A	9
2I3R_A	35
1VIW_A	53
4KXK_A	13
4H9S_F	6
4P39_A	14
2MUC_A	9
6B04_A	11
1XR3_B	21
4B5C_B	2
3I3U_A	1
4O3A_A	208
4RMH_A	51
4C2N_A	52
3VYK_A	1
3C0L_A	4
3P2N_A	6
5XGU_A	7
2Q27_A	2
2ZJ2_A	15
3MUI_A	39
2GUP_A	0
3LO2_A	19
4OL9_A	0
2P9P_A	19
3PBR_A	19
3MKH_A	3
2H77_A	21
1XCH_A	183
2EX4_B	5
3BIR_A	29
5A6H_A	371
5ULP_A	55
1K96_A	36
4MUE_B	56
4EIX_A	100
3D14_A	218
1RT7_A	195
4CPF_B	103
5LE1_A	75
3VRO_A	25
5XWR_B	17
1O3Y_A	25
4OSX_A	16
3S8E_G	17
3GLD_A	2
1A8Z_A	6
3BR8_A	2
2W18_A	1
5BZK_A	12
3TRL_A	5
4G5E_A	1
3QGI_A	128
4Y5W_A	3
1GZU_A	5
1PZ5_B	918
1KWU_A	8
3P0Z_B	42
4PQN_A	426
3PZN_A	4
5YNC_A	11
4QF5_A	3
2I5K_B	17
5KED_A	3
1K0G_B	2
2G6X_B	2
1IKO_P	0
1BW9_A	3
1GC9_A	37
3CE6_A	48
3RVS_A	42
2UY6_A	16
5JQ4_B	1
5J7I_B	2
3SCV_A	74
5GVJ_A	5
4DQ6_A	3
2O89_A	9
2ZCS_A	19
1GSA_A	1
3HHC_A	0
5A2U_A	3
4ECM_A	17
4OTX_M	154
6F7U_A	52
2AOZ_A	98
5HM3_A	8
4G91_C	1
5H14_A	26
5MYQ_A	33
5FUC_D	1
4JLU_A	16
3OYY_A	0
3K2L_A	204
5JHU_A	10
5C3Z_A	8
3TMO_A	2
1QNN_A	58
5TVG_A	10
3JXF_B	1
2R25_A	6
3NA4_A	47
3SS5_C	30
3UT5_C	59
3LAE_A	0
1JDO_A	183
1NNL_A	2
4RHO_B	34
5WAP_A	50
5EJ3_A	30
5UJD_A	1
4QGS_A	0
5JHP_A	10
5KKT_A	52
2V67_G	45
2OUX_A	0
3PYL_C	19
5A0D_B	1
1JE6_A	1
5KF6_A	25
3S6E_A	4
6B9U_A	65
3NQA_A	110
5AOF_A	248
4L5F_H	590
4Q4N_A	6
4GUA_A	4
4YPW_A	36
1JMV_A	0
2OF8_A	32
4GWX_A	59
1LL3_A	28
1RY2_A	15
1AF3_A	68
4AKK_A	0
1QLV_A	45
5NGQ_A	12
1D9Z_A	7
1ZT4_C	92
4R37_A	0
2A61_A	0
1GL7_B	4
5E8J_A	8
5EI5_A	112
3WUQ_A	2
2ZOO_A	18
4S3I_A	1
2ZFK_A	32
4ZNG_A	0
3MFB_A	0
5KVY_B	5
3EJ7_C	3
2UUK_B	221
3V1D_A	8
3CFK_B	1476
1XKF_A	1
3S2Z_A	6
3KE4_A	3
5XPB_B	1
2BSQ_A	2
4NT1_A	4
5YHS_A	52
5NK0_A	462
1G3S_A	17
4CKX_A	40
3HPX_B	5
4YVD_A	0
1U17_A	20
4HC4_A	11
2ARZ_B	0
3QNY_B	917
3A13_D	18
3VM6_A	11
4OJV_A	0
2E3K_B	61
3FHQ_A	1
3T3P_D	10
4IOC_A	43
4OEW_A	26
1G2Z_A	4
3TKH_A	172
5HYX_B	11
2BPF_A	198
1KIA_A	11
4H9M_A	30
3SQS_A	2
3EMK_A	80
3S6B_A	23
3JPW_A	1
2WT1_A	4
3NGP_A	20
2C11_A	6
2VC8_A	0
3KGS_A	174
1QHA_A	53
2J9A_A	19
1VA0_B	6
6ATQ_A	46
5XVR_A	4
6BL5_A	0
4XOV_A	270
1LY1_A	5
3CH8_A	13
5OJG_A	5
3X34_A	18
3TUJ_C	20
3UGY_A	40
5TOV_B	47
5LW9_A	30
3IF4_A	0
3KAM_A	338
3T2K_A	11
3WVW_A	103
5SW0_A	54
5M3I_A	2
3IRV_A	0
1QQL_A	79
1Y91_A	238
3UR8_A	6
5BPH_A	7
5H72_A	0
5MGS_H	2
5NKD_A	492
2BSR_A	569
3PSF_A	1
2H2N_A	2
3H0X_A	18
5A9J_A	8
6F8U_B	77
4OWS_B	45
2VUN_A	1
3CO6_C	5
5AE2_A	7
5XNA_A	1
5FCD_A	0
5HCG_H	1306
2P2G_A	7
2P3S_A	41
5B3U_A	1
4BOD_A	4
1XL4_A	10
4FP4_A	13
2R2F_A	13
3PQC_B	14
1OSJ_A	50
4O7A_A	201
3A1U_A	6
3KOC_C	16
5I7U_A	53
3BWW_A	0
3BDH_A	21
1TXN_A	3
4DMW_A	10
2D44_A	1
3BXA_A	110
1BL6_A	423
4I1R_A	6
1RXX_B	5
1HXA_A	34
5LY8_A	0
3KQ5_A	0
1A4R_A	76
2HWH_B	128
3G4Y_A	40
3W3K_B	29
1YDE_F	15
3H0F_A	62
3GDJ_B	146
4Q5Q_A	19
3AMF_A	10
5CZD_A	1
3C7O_A	5
5MFJ_B	20
2F68_X	1
4EFB_A	20
4CGV_B	0
1GWI_A	3
4WWK_C	92
5LE7_C	50
4YDK_G	120
4NR9_A	22
3F04_A	15
4KTO_B	1
4ZOU_A	0
4YBR_A	9
1K8D_A	505
5CCH_E	20
3LNI_A	10
4RKC_A	5
1DD8_A	35
3KZ8_A	83
4OUD_A	9
2GTD_A	3
3GZL_A	3
5NO0_A	5
3HW8_A	43
2HEU_A	3
5D1J_A	220
3ZRC_I	16
4GU8_A	6
4NCL_B	14
3K7Y_A	0
5XCR_A	801
3PER_A	3
3O7K_A	4
1PM2_A	15
4MZF_B	35
4ZCF_C	0
4FIU_A	119
5NLS_A	12
5X68_A	0
2XVK_A	11
2J0D_B	31
3BY8_A	0
2O2U_A	351
5K5D_A	1
1H47_B	47
3F0V_X	25
6BDR_A	13
5GQZ_A	20
1Y52_X	32
3VUF_A	6
2ORD_A	39
3GMC_A	12
1XKN_A	0
5C92_A	7
1I1N_A	3
4BB5_D	41
5NSJ_A	0
1H9Q_A	393
3P03_A	3
1JVG_A	7
4J8F_A	74
4X7G_A	2
3DKM_A	24
3SWN_F	0
3TX7_A	25
5E83_B	151
5M28_A	6
5IGE_A	235
3RJY_A	11
3MFD_A	0
4A6K_A	4
2PU3_A	4
4U8N_A	22
3IHK_B	0
5YVT_A	19
2JE1_A	1
5KSP_A	5
3A3F_A	6
5FA1_A	1
3IMX_A	38
4RHK_A	5
1Y7I_B	11
4JXM_A	1
5XZW_A	72
5NUD_B	550
3WRG_A	5
3FVQ_B	3
1U00_A	0
5K26_A	2
5DPT_B	16
3PWC_A	263
2B7K_A	1
4K84_B	6
6BUL_B	12
2AX3_A	4
1B47_A	33
1LOZ_A	349
3PLW_A	0
5MNM_A	294
4FTG_A	4
5X5Y_F	0
3A5K_A	127
4YB1_P	33
4N6E_A	1
4ND5_A	22
3SI1_A	31
4C8S_A	4
4C8M_A	106
3A2L_B	23
5JEF_B	5
4O4F_A	3
4KPG_A	6
2Z5M_A	17
1PIE_A	5
4Z9I_B	3
1IKP_A	13
1C69_A	317
2RG8_A	1
5CBL_A	2
3G66_A	8
3U6U_A	2
1INF_A	13
2Z1Y_B	4
1DPF_A	57
5EI0_A	18
5CI6_B	361
2C4W_A	203
1Q1K_A	7
1VAH_A	45
3GO1_H	1223
5FLF_B	667
5AZ9_A	226
5VA0_B	41
4OF7_C	3
2ZMD_A	41
2WOJ_A	38
5W73_A	50
1BU8_A	6
5UIX_H	1380
3UIK_A	16
2Q0D_A	10
3FA3_B	4
2X2E_A	14
2Y08_B	11
1BVQ_A	2
2BTU_A	5
4HVR_A	13
5MN0_B	33
5W93_A	0
3ZTH_A	0
3AAK_A	10
3JYG_A	0
2D5A_A	3
5NJ2_A	57
4WF8_A	69
4JVT_A	2
2BMC_B	218
2JE7_A	92
4DU9_A	235
3GN4_F	129
2P4B_A	1
2ODM_B	0
1SL9_A	16
2PRN_A	7
4QAZ_A	3
3EPB_A	22
5J3S_A	19
4IFR_A	8
3O43_A	66
4REE_A	19
2P4Y_A	169
1OC2_B	20
2PH5_A	0
1G8T_A	5
2F5K_B	1
2VWS_A	5
6EKW_A	8
4ZV4_A	82
3EF4_A	1
1FFQ_A	23
5M07_A	4
1R87_A	21
1ZXO_B	1
4C5W_A	5
3B4T_A	4
5DX5_A	38
3RN0_D	13
1P5Z_B	40
3BDU_A	1
3VGV_A	16
5DOU_A	8
5IL8_A	35
2P1S_A	57
2EW2_B	3
1FZB_B	27
5EKP_A	1
3CEW_A	0
4B2Y_A	62
4DYL_A	0
5ITQ_A	7
5EPJ_A	10
5T8W_A	31
4O4T_A	16
8ICB_A	198
4LVJ_A	5
2Z6I_B	8
2BCG_Y	95
4NGG_A	8
5XXD_A	15
2EIV_A	9
5OOV_A	50
1QX8_B	10
4RYK_A	0
3MWR_A	126
5D1N_A	4
5YXF_A	55
3IBA_A	18
5J8B_z	43
4WDC_A	12
1H7C_A	1
1XHD_A	2
3IET_D	1343
5MCA_A	33
3ELV_A	1
2F0F_A	235
6APJ_A	1
3RQ1_A	0
4FLX_A	20
2OWD_A	21
4S2O_B	46
4ORL_A	2
6F1C_A	3
4IC2_B	3
4YYP_A	3
4APS_A	22
5TMA_A	7
3ICA_A	1
5T1A_A	249
5TQS_A	7
4R16_A	2
5LAJ_A	32
5UVV_A	61
4PEY_A	4
5XEC_A	8
5DP6_D	18
3I0N_A	2
5YTO_A	60
5K99_A	17
4EX4_A	41
1XKI_A	2
4UIZ_A	201
4EAF_A	9
1O1M_A	11
3FOB_B	12
4TVQ_C	7
3NCZ_C	52
4GT0_B	24
4YDI_G	120
5AO0_A	34
5W3D_A	59
4PUQ_A	19
3TZA_A	208
5I2S_A	5
3HVK_A	58
3C15_C	65
5TAB_A	0
5HDI_A	3
2X6C_A	13
5FBG_A	5
5IF0_A	1314
3HUP_A	2
3UAW_A	44
4CRI_A	8
3HS4_A	371
5MEQ_A	512
4W6W_A	3
4XFK_A	0
4QNV_A	10
6BSF_A	41
5WJG_A	56
3UVT_C	15
1J5S_A	0
2YAU_A	69
1T3G_A	0
4XS3_A	46
4TSV_A	15
1KKO_A	1
5G4X_A	0
3EL6_A	0
4S3Q_B	2
5YEH_A	14
5YLA_A	30
4DQ0_B	1
1YUE_A	0
4YQH_A	59
4DCX_A	21
5Y57_A	3
1V4U_A	4
5AWU_A	3
4DKL_A	252
4K9N_A	39
3RLC_A	1
2DZA_A	19
1QGD_A	33
3DLJ_A	3
4UVS_A	86
2W3X_B	3
4M24_A	2
4E6E_A	33
5A91_A	86
4D9Q_A	219
4R76_A	25
4N3X_B	2
1ZQ1_B	0
5XXN_A	30
5WUG_A	12
2CVC_A	3
3UGQ_A	6
2FNI_A	2
4NNP_A	7
3B61_A	2
1S5X_B	38
3BAC_A	20
1QZQ_A	8
3LQL_A	173
3L8M_A	2
1ZMX_A	2
1P7H_L	8
1H6X_A	2
4QPQ_B	3
3SPD_A	4
1EV1_1	7
3OBW_A	1
1UHB_A	195
1KK3_A	82
3F8Y_A	58
5UZJ_A	52
3X2X_A	3
4DLG_A	93
1KOH_C	6
4BCQ_A	352
5G2E_A	2
1VGR_A	10
3BC1_A	25
2R5N_A	28
5HVT_A	52
2HYR_A	8
6AND_H	1444
3A07_B	4
2F6C_A	29
5UKM_A	68
2FW9_A	40
3VZB_A	3
3OS1_A	18
3IA5_B	49
2QVA_C	7
4GT5_A	132
3IFT_A	1
3MHH_A	9
3U6R_A	772
3WIH_H	674
4O7H_A	1
5B2J_I	0
1K7H_A	28
5ET6_A	59
4ZNE_A	7
4Q0P_A	5
5EHY_A	41
5TEN_A	7
1XQ4_A	0
5LBB_A	32
5IWE_A	7
4DGF_B	1
2PUQ_H	77
2ANG_A	48
4JLR_A	1241
3B40_A	0
4MC8_A	2
2GNB_A	123
1KWI_A	3
3RTS_A	75
5TF0_B	11
1GO4_A	2
2CAQ_A	9
4PZA_A	2
5IUF_B	4
1RYP_B	36
5YPQ_K	18
4Z79_A	2
4BFS_A	20
5L2W_A	238
1FF9_A	6
3VV3_A	79
1WZM_A	17
5TCM_A	1
2VQW_G	49
5LBK_A	0
2Q0H_B	23
3VH1_A	13
3LEQ_A	0
2YMO_A	0
3WWO_B	9
5N4B_A	31
3ZBL_A	7
3MEQ_B	7
2A7N_A	13
1YU6_A	45
2E46_A	42
1CCL_A	67
4ME5_A	235
2VC2_B	10
4J6E_A	1
3C1H_A	19
5I14_A	247
3KP7_A	9
5HVQ_C	1
6ERD_A	0
3VBB_A	10
5M4C_A	120
5DMR_A	6
3RV3_A	38
3KKW_A	9
3N1E_B	1
4OOS_A	62
4B8B_A	0
1I2S_A	18
3P28_A	270
4QXL_A	0
1LLM_C	86
4G09_A	15
5O3Z_F	0
5NH2_A	13
4ZXD_W	5
3T7H_B	9
4OZY_A	3
3ATO_A	338
5LF9_A	2
1TX2_A	33
4PVH_A	9
1QVC_A	6
3OZE_A	11
2CGO_A	32
5U5N_A	2
4OM1_G	120
5NMU_A	2
2E6U_X	3
4MMT_B	38
4H2L_B	146
3AXZ_A	36
5OCE_A	4
1EIA_A	1
5SY9_A	37
2H03_A	35
1KEG_H	1293
1XQ1_A	7
5NHX_A	3
4AXJ_B	21
4WD9_A	0
4LMC_A	8
4DGE_A	85
3C73_B	10
3ZP4_A	6
5HPT_A	20
3BJN_A	0
4RNJ_B	2
1HDD_C	7
4AWI_A	452
1JOE_A	9
3QAU_A	9
2Q20_B	152
3PSA_A	1
5ODL_A	2
1L0E_A	81
3M4I_A	6
6AR1_A	3
3MFT_A	13
4HZH_B	175
4IDA_A	3
1XDV_A	21
4XJ5_A	12
5VGO_A	254
5HZV_A	221
4I1I_A	11
5HS6_A	15
5A07_A	4
3MJG_X	0
2IQF_A	28
1BHE_A	0
4X4N_A	17
2DBX_A	14
1NT9_A	67
3II7_A	0
4I5U_A	11
5H20_A	0
4FI5_A	0
1G4T_B	7
2BOQ_A	39
1C4K_A	0
3FM6_A	16
4QYK_A	14
1EY0_A	235
2Z16_A	13
2BDB_A	130
3QB9_A	18
2OCI_A	3
5A2S_A	49
5CBX_B	41
5NYC_A	159
1J8D_A	4
5M2V_A	216
1K9D_A	6
4YB8_A	9
5BSU_A	14
2Z31_D	71
2YXF_A	47
4WU8_C	67
2IUO_A	9
4BRC_A	21
3VN0_B	4
3WIA_A	16
5UGY_A	116
4H62_Q	1
2O7P_A	5
5XXM_A	10
6B1D_A	31
5AZA_A	225
3GEW_A	11
3ECP_A	5
4PAM_A	70
3RO1_A	4
1GF5_A	348
4LP9_A	411
3PI8_B	151
5E6U_A	22
3QUH_A	7
1ZDT_A	23
2Y2E_A	3
3ZMF_A	47
3KJZ_A	8
5H75_D	18
2C0O_A	232
2C7V_A	23
6BRP_B	4
5TFC_A	26
3ZJE_B	9
1WHI_A	0
3AF8_X	79
1DYM_A	29
1X8D_A	0
1RER_A	3
5EZD_A	1
5UKR_G	120
2I0F_A	2
2QF4_A	1
3N7S_B	7
4NVQ_A	24
3PR2_B	52
4ENX_A	90
3DS4_A	63
4EYI_B	37
4MTQ_A	3
4EGP_A	17
3P0S_A	0
1MZV_A	4
5MJV_C	1
3T6N_A	3
3WQR_A	47
3GK8_H	1331
5NON_B	3
2JCW_A	8
5C23_A	11
1N9P_A	15
3WJE_B	8
4EH4_A	374
1P9H_A	0
6AW0_A	15
2CZ8_D	3
3ISQ_A	3
3MW3_A	10
5I9U_A	492
1TF8_A	8
1T6G_A	3
4DRS_A	65
5IHZ_L	43
4Y6I_B	8
1YU3_A	4
1ZE3_C	9
2A6O_A	1
1NKO_A	4
4UOO_A	7
5EG3_A	560
3NRS_A	4
3P08_A	254
5GTF_C	3
4KI2_B	6
1O26_D	27
6EJ8_A	7
3SNP_A	2
3RD4_A	0
1EP2_A	4
4JBH_A	3
4Q4D_A	17
3E8V_A	0
2EF6_A	79
5OXV_G	67
3O93_A	4
4EMY_A	1
6END_A	50
2G07_A	8
5VAO_B	5
3DD9_H	2
1ZEA_H	1281
5DOV_B	3
3ZOR_A	51
5U63_B	16
1S9Q_A	22
3C6T_A	166
2OQ2_A	0
4TYH_A	29
4N1V_A	1
5HXI_A	12
4R0K_B	2
4K4W_A	47
1A55_A	7
5UFD_A	18
3I75_B	1315
5W69_A	512
5MAC_A	12
2W24_A	5
5NR4_A	0
2PY3_A	560
2H7G_X	1
1YPO_B	4
2X9N_A	50
5HBI_A	44
5THL_A	6
1M1K_D	5
3ACL_A	6
5K75_B	34
3HOF_A	52
4O8G_A	32
5W9D_A	224
3IIP_A	20
3CO8_A	3
1T7S_A	1
2AQW_A	17
4EAD_A	16
5YD4_A	440
3LA8_A	52
1MHW_A	110
5UUO_A	2
5GR0_A	20
4OBA_A	67
4GX9_B	4
4TQH_A	174
4CUF_A	5
5LVX_A	11
4EOR_A	238
2X09_A	32
4G0M_A	0
1KT6_A	13
4N6R_B	0
4KLT_A	137
4Z83_E	223
6B4J_E	19
3P3Y_A	1
2C0Y_A	55
2E8R_A	81
2X6X_A	25
4AVY_A	35
5F3O_A	2
2Z2P_A	3
3K1O_A	9
4EKL_A	184
3LWW_A	10
4ZAH_A	3
3FCU_B	10
1XZQ_A	11
4HGV_A	19
3T0F_B	10
2H32_H	416
4U9J_A	3
4YZE_A	4
6EMI_A	124
3ANP_A	1
4O2R_A	11
1Z3E_A	3
6B2F_G	60
2YPV_A	15
3M58_A	27
1VQV_A	3
3RDJ_A	5
1D4F_A	49
4GCL_B	9
1UEH_A	32
5NFU_A	49
4KC5_A	1
3OWT_A	1
3RJ6_A	128
1RKP_A	26
3E48_B	9
5B3I_A	2
4EF9_A	31
5HM8_A	49
1L8K_A	72
5LF2_A	0
4GDI_A	4
4JBY_A	17
2FBE_C	0
2I9X_A	2
3M12_B	12
1B8N_A	77
6B9G_A	13
6BJR_A	175
5WMQ_A	512
2BOX_A	2
4HBC_H	1293
5A7I_A	5
3J04_A	103
1KAE_A	7
3V80_A	22
4YBK_A	253
4XVC_A	10
2ZL4_A	40
1ZU4_A	4
1D6A_A	33
1M4N_A	4
2QMU_A	85
4BVU_A	2
3GJ7_A	18
5U7W_A	3
4I3T_A	8
2PND_A	1
2P9H_A	9
1UNP_A	10
1Y3T_A	1
4QDD_A	4
2V5E_A	4
4NF2_A	8
2QN7_A	107
1DQX_D	29
5DAV_A	3
4HI3_B	73
3JX8_A	0
3LC7_Q	94
3UON_A	320
2PNC_A	9
2IEL_A	0
2QRE_E	9
5XUT_A	11
3Q87_B	2
3FFR_A	0
2PFI_A	0
5F9A_A	12
1B5T_A	9
4CBM_A	13
2B6A_A	166
2BKJ_A	5
3X39_A	3
5JAE_A	45
5N11_A	5
4W4Z_A	19
3TUV_A	33
4JIP_A	69
3JTQ_B	15
5Z21_B	0
3U02_A	5
4TKG_C	87
4UTF_A	13
1AP6_A	93
5DZB_A	11
5Y9Z_A	12
2Z45_A	12
3ND1_A	1
3WJQ_A	7
2CIP_A	5
1Y96_A	0
2VOS_A	1
2ZUP_A	15
4AWT_A	26
2FX8_H	1356
3QC4_B	199
4EVZ_A	18
4FRL_A	115
2EFV_A	0
1ATJ_A	24
1UIX_A	0
1X3F_B	10
4IG7_A	1
1OPH_A	23
4XLQ_D	69
5KH0_A	3
1K1E_A	4
1GQP_A	0
3VWI_A	12
5V1X_G	2
1GWC_C	6
2Q15_A	222
3UNX_A	45
2Z94_A	73
3P1W_A	4
5C2C_A	12
1N7Z_A	0
5Q0Z_A	66
3H2J_A	4
3AB9_A	1
5J03_A	4
1CZ7_D	59
1UVR_A	277
1TQP_A	6
4LTB_A	1
5TNB_B	224
1SQ2_L	338
1AP5_A	93
1UQW_A	0
3W45_A	5
5LHB_A	8
2X6H_B	101
5G0O_B	192
5A0V_A	5
5P17_A	411
1YCP_H	221
4LNS_A	0
5BP4_A	7
1EPY_A	247
2W90_B	15
2XHF_A	0
3VWP_A	17
1B0G_A	512
4G9J_B	32
3LOG_B	10
3GVK_B	13
5GQE_A	16
3F86_A	0
1WWP_A	0
3SRV_A	514
4PJ1_A	36
5U0Y_B	19
4MKM_A	1
4F96_A	6
5EI3_A	27
4IFQ_A	0
1OZM_A	118
5L7J_A	1
5C0E_A	512
5UW6_B	22
4OEF_A	69
1O4S_B	22
1NOH_A	11
4O9G_A	7
